;fecha;último;apertura;máximo;mínimo;volumen;%var;;
1132;27.05.2014;10714,2;10669,3;10744,8;10659,4;208.49M;0,25%;;
1131;28.05.2014;10757,2;10701,5;10757,2;10672,2;236.69M;0,40%;;
1130;29.05.2014;10734,8;10755,7;10770,3;10665;182.66M;-0,21%;;
1129;30.05.2014;10798,7;10708,1;10803,4;10697,8;319.90M;0,60%;;
1128;02.06.2014;10827,4;10819;10877,4;10800,2;196.10M;0,27%;;
1127;03.06.2014;10776,7;10838,3;10873,6;10744,3;206.17M;-0,47%;;
1126;04.06.2014;10755,6;10756,2;10775,1;10667,2;193.39M;-0,20%;;
1125;05.06.2014;10876,4;10761;10970;10714,2;382.16M;1,12%;;
1124;06.06.2014;11064,3;10917,6;11085,1;10888,4;338.35M;1,73%;;
1123;09.06.2014;11164,1;11089,8;11188,2;11057,7;267.30M;0,90%;;
1122;10.06.2014;11153,5;11136,6;11177,6;11095,6;246.60M;-0,09%;;
1121;11.06.2014;11074,9;11134,4;11167,8;11045,2;211.58M;-0,70%;;
1120;12.06.2014;11088,5;11081,7;11137,3;11046;186.19M;0,12%;;
1119;13.06.2014;11113,7;11079;11134,3;11010;197.26M;0,23%;;
1118;16.06.2014;11008,2;11055;11099,2;10971,7;213.70M;-0,95%;;
1117;17.06.2014;11058,5;11031,1;11093,5;11013;198.94M;0,46%;;
1116;18.06.2014;11112,3;11082,4;11130,8;11052,7;197.07M;0,49%;;
1115;19.06.2014;11187,8;11192,4;11249,4;11158,8;222.99M;0,68%;;
1114;20.06.2014;11155,1;11174,9;11215,8;11142,6;385.51M;-0,29%;;
1113;23.06.2014;11118,3;11163,4;11185,1;11093,9;176.42M;-0,33%;;
1112;24.06.2014;11105,9;11147,6;11168,8;11082,5;183.08M;-0,11%;;
1111;25.06.2014;10966,7;11058,1;11069,5;10890,2;340.43M;-1,25%;;
1110;26.06.2014;10989;11006;11046,4;10910,8;237.04M;0,20%;;
1109;27.06.2014;10959,9;11010,2;11059,8;10924,2;172.85M;-0,26%;;
1108;30.06.2014;10923,5;10975,6;10996,3;10850,6;198.88M;-0,33%;;
1107;01.07.2014;11007,8;10954,5;11007,8;10911,9;271.83M;0,77%;;
1106;02.07.2014;11016,2;11009;11037,5;10955,2;206.19M;0,08%;;
1105;03.07.2014;11090;11001,7;11100,2;10958,1;231.68M;0,67%;;
1104;04.07.2014;11009,4;11082,7;11084;11004,8;151.36M;-0,73%;;
1103;07.07.2014;10888,5;10986;11005,2;10874,5;159.94M;-1,10%;;
1102;08.07.2014;10689,1;10898,7;10920,9;10663;348.81M;-1,83%;;
1101;09.07.2014;10746,9;10736,4;10771;10680,9;264.37M;0,54%;;
1100;10.07.2014;10533,6;10743,6;10743,6;10423,6;378.31M;-1,98%;;
1099;11.07.2014;10538,8;10563,7;10681,5;10489,8;240.40M;0,05%;;
1098;14.07.2014;10606,3;10602,5;10640;10526,6;189.42M;0,64%;;
1097;15.07.2014;10475,9;10545,1;10581,4;10427,7;246.84M;-1,23%;;
1096;16.07.2014;10668,4;10522,2;10680,2;10496,6;225.51M;1,84%;;
1095;17.07.2014;10543,3;10617,6;10643;10507,8;208.17M;-1,17%;;
1094;18.07.2014;10527;10477,5;10527;10425,3;201.07M;-0,15%;;
1093;21.07.2014;10482;10521,7;10530,6;10447,6;156.59M;-0,43%;;
1092;22.07.2014;10648,9;10531;10667,9;10504,7;231.98M;1,59%;;
1091;23.07.2014;10659,1;10624,2;10700;10604,8;213.23M;0,10%;;
1090;24.07.2014;10860,7;10668,3;10860,7;10618,1;335.62M;1,89%;;
1089;25.07.2014;10888,1;10839,6;10941,9;10832,1;273.05M;0,25%;;
1088;28.07.2014;10879,8;10940,5;10963,9;10801,6;200.63M;-0,08%;;
1087;29.07.2014;10901,2;10901,6;10964,3;10854,2;199.82M;0,20%;;
1086;30.07.2014;10937,4;10927,8;11016,1;10888,6;241.84M;0,33%;;
1085;31.07.2014;10707,2;10934,9;10943,9;10663,3;302.66M;-2,10%;;
1084;01.08.2014;10514;10682,8;10701,4;10478,3;297.75M;-1,80%;;
1083;04.08.2014;10496,2;10585,8;10589,4;10463,9;206.95M;-0,17%;;
1082;05.08.2014;10353,8;10524,7;10534,7;10314,4;258.78M;-1,36%;;
1081;06.08.2014;10246,2;10282;10330,3;10121,5;306.36M;-1,04%;;
1080;07.08.2014;10078,6;10235,8;10258,9;10049,9;321.04M;-1,64%;;
1079;08.08.2014;10104,8;9981,2;10183;9946,9;274.09M;0,26%;;
1078;11.08.2014;10193,5;10226,6;10245,7;10148,6;173.37M;0,88%;;
1077;12.08.2014;10241,5;10195,9;10324,1;10161,9;190.72M;0,47%;;
1076;13.08.2014;10304;10304,1;10330,2;10250,5;183.23M;0,61%;;
1075;14.08.2014;10294,8;10274,1;10339,2;10210,7;156.13M;-0,09%;;
1074;15.08.2014;10222,2;10320,8;10417,7;10203,7;197.00M;-0,71%;;
1073;18.08.2014;10353,4;10350,4;10372,2;10284,1;150.18M;1,28%;;
1072;19.08.2014;10386,5;10407,5;10416,6;10367,2;119.98M;0,32%;;
1071;20.08.2014;10420,9;10390,6;10428,1;10338,3;135.51M;0,33%;;
1070;21.08.2014;10556,4;10429,8;10569,3;10386,7;168.28M;1,30%;;
1069;22.08.2014;10500,2;10582,1;10588,7;10436,4;155.28M;-0,53%;;
1068;25.08.2014;10690,1;10607,1;10695,7;10563,6;148.34M;1,81%;;
1067;26.08.2014;10826,9;10672,4;10835,5;10669,4;215.49M;1,28%;;
1066;27.08.2014;10837,4;10821,9;10883,8;10787,4;190.91M;0,10%;;
1065;28.08.2014;10722,2;10808,5;10844,4;10688;179.77M;-1,06%;;
1064;29.08.2014;10728,8;10742,7;10785,3;10614,5;190.47M;0,06%;;
1063;01.09.2014;10746,5;10749,2;10784,1;10693,9;107.65M;0,16%;;
1062;02.09.2014;10755;10768,5;10822,6;10736,4;168.16M;0,08%;;
1061;03.09.2014;10886,8;10799,2;10927,2;10783,4;218.74M;1,23%;;
1060;04.09.2014;11100,1;10853,8;11146,6;10835,4;400.31M;1,96%;;
1059;05.09.2014;11148,9;11085,5;11182;11062,2;269.75M;0,44%;;
1058;08.09.2014;11102,6;11158,4;11163;11043;179.76M;-0,42%;;
1057;09.09.2014;10951,6;11060,2;11080,6;10939,7;204.79M;-1,36%;;
1056;10.09.2014;10937,8;10909,9;10937,8;10821,3;237.81M;-0,13%;;
1055;11.09.2014;10886,3;10951,9;10963,5;10823,9;210.04M;-0,47%;;
1054;12.09.2014;10888,9;10895,7;10930,2;10838,9;153.43M;0,02%;;
1053;15.09.2014;10841,3;10849,8;10894,8;10815,2;156.41M;-0,44%;;
1052;16.09.2014;10798,7;10829,9;10836,7;10737,3;258.02M;-0,39%;;
1051;17.09.2014;10907,4;10855;10939,2;10818,1;246.26M;1,01%;;
1050;18.09.2014;10991;10931,8;11016,5;10899,2;262.36M;0,77%;;
1049;19.09.2014;11001,9;11108,9;11191,8;11001,9;381.04M;0,10%;;
1048;22.09.2014;10947,9;10961,9;11026,5;10930,5;194.77M;-0,49%;;
1047;23.09.2014;10801,8;10918,9;10918,9;10781,2;263.28M;-1,33%;;
1046;24.09.2014;10856,9;10798,9;10860,5;10679,2;256.97M;0,51%;;
1045;25.09.2014;10783,1;10847,8;10948,6;10733,1;276.50M;-0,68%;;
1044;26.09.2014;10851,4;10770,6;10891;10701,2;203.76M;0,63%;;
1043;29.09.2014;10686;10828,2;10852,7;10625,5;241.84M;-1,52%;;
1042;30.09.2014;10825,5;10724,5;10860,1;10714;277.85M;1,31%;;
1041;01.10.2014;10753,2;10793,9;10889,3;10734,6;274.95M;-0,67%;;
1040;02.10.2014;10418,1;10742,5;10769,3;10418,1;406.48M;-3,12%;;
1039;03.10.2014;10567,6;10561;10582;10436,4;239.76M;1,44%;;
1038;06.10.2014;10645,7;10657,6;10728,8;10632,5;198.11M;0,74%;;
1037;07.10.2014;10430,7;10610;10610;10422,1;268.33M;-2,02%;;
1036;08.10.2014;10339;10384,6;10460,9;10320;327.29M;-0,88%;;
1035;09.10.2014;10273,7;10465,3;10470,8;10201;307.92M;-0,63%;;
1034;10.10.2014;10150,5;10186,7;10290,9;10102,4;359.00M;-1,20%;;
1033;13.10.2014;10187,3;10072,4;10274,8;10042,2;239.63M;0,36%;;
1032;14.10.2014;10204,9;10138,1;10236,8;10016,5;300.59M;0,17%;;
1031;15.10.2014;9838,5;10204,7;10225,6;9774,9;448.12M;-3,59%;;
1030;16.10.2014;9669,7;9897,2;9942;9370,5;786.59M;-1,72%;;
1029;17.10.2014;9956,8;9723;9977,4;9651,1;436.59M;2,97%;;
1028;20.10.2014;9915,2;9898,9;9958,9;9802,8;335.39M;-0,42%;;
1027;21.10.2014;10152,1;9893,5;10167,8;9851,5;368.72M;2,39%;;
1026;22.10.2014;10249,9;10169,6;10249,9;10067;335.12M;0,96%;;
1025;23.10.2014;10333,7;10202,7;10359;10127;311.53M;0,82%;;
1024;24.10.2014;10339,3;10299,4;10369;10260,7;278.42M;0,05%;;
1023;27.10.2014;10195,2;10469,4;10474,8;10093,4;383.78M;-1,39%;;
1022;28.10.2014;10394,8;10260,2;10423,4;10248,6;276.85M;1,96%;;
1021;29.10.2014;10247,8;10406;10441,1;10204,8;313.34M;-1,41%;;
1020;30.10.2014;10263,7;10304,6;10340,3;9994,8;358.03M;0,16%;;
1019;31.10.2014;10477,8;10448,4;10513,3;10324,8;401.75M;2,09%;;
1018;03.11.2014;10374,4;10454,3;10508,8;10333,3;285.48M;-0,99%;;
1017;04.11.2014;10154,4;10361;10455,2;10140,5;338.02M;-2,12%;;
1016;05.11.2014;10276,9;10246,6;10310,6;10131,2;312.66M;1,21%;;
1015;06.11.2014;10261,8;10242,7;10463,3;10175,3;372.89M;-0,15%;;
1014;07.11.2014;10126,3;10291;10311,5;10017,5;319.46M;-1,32%;;
1013;10.11.2014;10273;10103,9;10282,4;10052,2;224.42M;1,45%;;
1012;11.11.2014;10338,8;10319,8;10418,4;10296,1;246.12M;0,64%;;
1011;12.11.2014;10157,3;10307;10342,6;10136,4;287.99M;-1,76%;;
1010;13.11.2014;10140,4;10207,6;10252,3;10044,2;288.33M;-0,17%;;
1009;14.11.2014;10148;10192,3;10195,1;10056,8;405.11M;0,07%;;
1008;17.11.2014;10309;10061,1;10336,3;10040,9;355.98M;1,59%;;
1007;18.11.2014;10432,9;10320,1;10466,3;10296,3;318.10M;1,20%;;
1006;19.11.2014;10376,8;10395,8;10451,8;10328,9;335.20M;-0,54%;;
1005;20.11.2014;10209,2;10351,5;10351,5;10132,2;372.10M;-1,62%;;
1004;21.11.2014;10520,8;10225,6;10542,5;10209;432.60M;3,05%;;
1003;24.11.2014;10642,5;10558,7;10715,1;10528,8;361.46M;1,16%;;
1002;25.11.2014;10699,6;10621,9;10792,3;10609,4;448.00M;0,54%;;
1001;26.11.2014;10647;10723,2;10736,4;10610,1;230.99M;-0,49%;;
1000;27.11.2014;10727,6;10660,4;10745,4;10629,1;195.15M;0,76%;;
999;28.11.2014;10770,7;10722,3;10772,2;10656,5;228.44M;0,40%;;
998;01.12.2014;10672,8;10700,6;10757,6;10648,2;231.09M;-0,91%;;
997;02.12.2014;10749,2;10701,1;10763;10653,2;228.19M;0,72%;;
996;03.12.2014;10875,9;10776,1;10903,1;10754,9;285.48M;1,18%;;
995;04.12.2014;10619,9;10902,7;10928,3;10587;397.24M;-2,35%;;
994;05.12.2014;10900,7;10756,4;10906,1;10718,1;335.92M;2,64%;;
993;08.12.2014;10805,2;10864,6;10919,3;10805,2;189.14M;-0,88%;;
992;09.12.2014;10461,6;10704,3;10707,3;10461,2;367.39M;-3,18%;;
991;10.12.2014;10396,9;10536,3;10593,3;10347,2;272.36M;-0,62%;;
990;11.12.2014;10431,8;10397,4;10505,8;10322,7;273.89M;0,34%;;
989;12.12.2014;10145;10358,2;10407,5;10127,5;293.90M;-2,75%;;
988;15.12.2014;9903,9;10149,6;10268,2;9900,3;334.26M;-2,38%;;
987;16.12.2014;10081,9;9954,2;10095,1;9661;563.12M;1,80%;;
986;17.12.2014;10049,5;9990,7;10100,5;9916,9;342.11M;-0,32%;;
985;18.12.2014;10391,3;10218;10391,3;10167,2;417.88M;3,40%;;
984;19.12.2014;10363,6;10483,4;10500,1;10186,7;497.37M;-0,27%;;
983;22.12.2014;10371;10387,5;10458;10294,9;186.41M;0,07%;;
982;23.12.2014;10477,7;10380,2;10477,7;10314,4;161.43M;1,03%;;
981;24.12.2014;10481,8;10456,1;10495,9;10437,8;45.21M;0,04%;;
980;29.12.2014;10394,2;10427,8;10446,3;10216,2;220.89M;-0,84%;;
979;30.12.2014;10279,2;10365,4;10365,4;10269,4;163.93M;-1,11%;;
978;31.12.2014;10279,5;10260,2;10305,8;10253,5;83.61M;0,00%;;
977;02.01.2015;10350,8;10386,7;10440,3;10232,3;220.24M;0,69%;;
976;05.01.2015;9993,3;10267,2;10390,8;9977,8;299.61M;-3,45%;;
975;06.01.2015;9871,1;10040,7;10060,8;9871,1;282.86M;-1,22%;;
974;07.01.2015;9891,4;9937,3;10051,2;9836,4;290.12M;0,21%;;
973;08.01.2015;10115;10053,2;10143;9970,3;320.45M;2,26%;;
972;09.01.2015;9719;10080;10080;9610,1;789.49M;-3,91%;;
971;12.01.2015;9797,5;9805,5;9882,1;9682,1;454.28M;0,81%;;
970;13.01.2015;9966;9762,4;9996,1;9757,3;407.22M;1,72%;;
969;14.01.2015;9846;9801,7;10013,8;9778,9;474.51M;-1,20%;;
968;15.01.2015;9982,5;9953,1;10008,9;9646,4;408.08M;1,39%;;
967;16.01.2015;10038,9;9948,6;10060,2;9882,1;367.66M;0,56%;;
966;19.01.2015;10157,5;10091,3;10193,8;10036,7;253.51M;1,18%;;
965;20.01.2015;10283,9;10194,9;10332,3;10186,7;446.60M;1,24%;;
964;21.01.2015;10335,3;10325;10340,3;10147;367.57M;0,50%;;
963;22.01.2015;10510,6;10382,2;10560,9;10339,6;508.50M;1,70%;;
962;23.01.2015;10581,5;10604,9;10693;10532,4;493.57M;0,67%;;
961;26.01.2015;10696,1;10502,6;10716,9;10451;309.10M;1,08%;;
960;27.01.2015;10598,9;10669,5;10707,1;10528,1;322.88M;-0,91%;;
959;28.01.2015;10456,9;10676,6;10687;10395,6;366.62M;-1,34%;;
958;29.01.2015;10507,6;10391,2;10513,1;10320,8;336.72M;0,48%;;
957;30.01.2015;10403,3;10562,6;10581,6;10336,1;418.61M;-0,99%;;
956;02.02.2015;10328,1;10396,6;10401;10136,4;443.72M;-0,72%;;
955;03.02.2015;10598,2;10426,8;10634,2;10414,6;446.42M;2,62%;;
954;04.02.2015;10577,8;10620,9;10688;10497,4;386.83M;-0,19%;;
953;05.02.2015;10535,5;10451,7;10535,5;10388,9;301.15M;-0,40%;;
952;06.02.2015;10573,1;10547,1;10606,8;10497,5;278.01M;0,36%;;
951;09.02.2015;10364,9;10467,8;10473,3;10289,7;290.05M;-1,97%;;
950;10.02.2015;10500,1;10389,8;10561,4;10338,6;275.83M;1,30%;;
949;11.02.2015;10364,8;10496,1;10516,5;10342,8;237.22M;-1,29%;;
948;12.02.2015;10562,2;10349,6;10607,1;10328,5;328.00M;1,90%;;
947;13.02.2015;10739,5;10618,5;10794,9;10606,7;427.94M;1,68%;;
946;16.02.2015;10689,5;10717,8;10793,1;10679,9;220.58M;-0,47%;;
945;17.02.2015;10698;10591,6;10730,1;10526,6;272.47M;0,08%;;
944;18.02.2015;10805,3;10764,6;10852,6;10764,1;298.37M;1,00%;;
943;19.02.2015;10910,4;10781;10918,4;10726,3;350.26M;0,97%;;
942;20.02.2015;10879,3;10889,8;10916,8;10759;336.30M;-0,29%;;
941;23.02.2015;10990,1;11001,3;11015,4;10935,1;272.02M;1,02%;;
940;24.02.2015;11064,5;11027,7;11082,7;10951,1;297.63M;0,68%;;
939;25.02.2015;11049,5;11027,9;11072,5;11011,7;255.50M;-0,14%;;
938;26.02.2015;11139,5;11023,3;11145,9;11014,4;271.21M;0,81%;;
937;27.02.2015;11178,3;11142,9;11184,5;11070,8;412.54M;0,35%;;
936;02.03.2015;11178,5;11190,5;11239,8;11123,3;312.32M;0,00%;;
935;03.03.2015;11014,7;11197,6;11212,8;11001,7;246.88M;-1,47%;;
934;04.03.2015;11051,3;11048,1;11079,3;10921,4;253.27M;0,33%;;
933;05.03.2015;11124,4;11078,1;11154,3;11039,2;260.66M;0,66%;;
932;06.03.2015;11091,9;11144,5;11158,9;11070,2;272.19M;-0,29%;;
931;09.03.2015;11054,2;11007,9;11078,8;10962,4;221.02M;-0,34%;;
930;10.03.2015;10902,2;11060,5;11081,2;10858,4;299.03M;-1,38%;;
929;11.03.2015;11021,8;10950,3;11048,2;10908;265.92M;1,10%;;
928;12.03.2015;11011,8;11022,9;11068;10993,1;439.29M;-0,09%;;
927;13.03.2015;11033,8;11072,9;11077,7;10993,5;253.11M;0,20%;;
926;16.03.2015;11114,7;11082,4;11146,7;11077,4;292.85M;0,73%;;
925;17.03.2015;11028,1;11117,5;11129;10953,7;260.65M;-0,78%;;
924;18.03.2015;11050;11057,4;11076;10957,7;295.71M;0,20%;;
923;19.03.2015;11091;11062,9;11146,5;11040,2;259.18M;0,37%;;
922;20.03.2015;11419,6;11109,8;11458,3;11090,2;618.65M;2,96%;;
921;23.03.2015;11452,8;11394;11465,4;11364,3;328.74M;0,29%;;
920;24.03.2015;11579,3;11428,5;11618,3;11409,9;331.91M;1,10%;;
919;25.03.2015;11464,7;11560,7;11591,7;11449,3;252.13M;-0,99%;;
918;26.03.2015;11453,8;11400,4;11453,8;11294,7;308.56M;-0,10%;;
917;27.03.2015;11427,4;11469,7;11524,2;11403,9;310.09M;-0,23%;;
916;30.03.2015;11529,1;11459,8;11543,2;11432,3;304.32M;0,89%;;
915;31.03.2015;11521,1;11510,8;11596,1;11444,6;336.27M;-0,07%;;
914;01.04.2015;11569,8;11482;11662,8;11454,3;305.80M;0,42%;;
913;02.04.2015;11634;11583,6;11649,9;11559,2;205.81M;0,55%;;
912;07.04.2015;11730,5;11715,6;11771,8;11669,3;366.06M;0,83%;;
911;08.04.2015;11655,5;11738,4;11771,4;11615,8;301.55M;-0,64%;;
910;09.04.2015;11734,6;11688,4;11747,3;11655,2;299.82M;0,68%;;
909;10.04.2015;11749,3;11755,3;11778;11679,2;336.79M;0,13%;;
908;13.04.2015;11866,4;11761,7;11884,6;11760,8;229.31M;1,00%;;
907;14.04.2015;11704,7;11798,5;11862,6;11645,6;377.82M;-1,36%;;
906;15.04.2015;11778,4;11742,4;11815,6;11710,4;292.62M;0,63%;;
905;16.04.2015;11611,7;11772,3;11772,3;11580,3;287.02M;-1,42%;;
904;17.04.2015;11359,4;11565,5;11598;11299,9;465.82M;-2,17%;;
903;20.04.2015;11384,6;11400,2;11418,8;11306,4;209.41M;0,22%;;
902;21.04.2015;11422,3;11439;11504;11368,2;337.59M;0,33%;;
901;22.04.2015;11399,2;11452,2;11480,4;11276,3;306.27M;-0,20%;;
900;23.04.2015;11425,8;11417,5;11461,1;11291,3;244.09M;0,23%;;
899;24.04.2015;11505,4;11469,6;11605,5;11434,6;340.44M;0,70%;;
898;27.04.2015;11640,2;11532;11679,8;11365,5;310.81M;1,17%;;
897;28.04.2015;11607,7;11656;11684,6;11543;280.72M;-0,28%;;
896;29.04.2015;11378,9;11619;11651,9;11371,5;310.36M;-1,97%;;
895;30.04.2015;11385;11351,1;11469,2;11258;386.58M;0,05%;;
894;04.05.2015;11429,1;11377,1;11501,8;11280,5;224.66M;0,39%;;
893;05.05.2015;11115,6;11416,4;11503,9;11102,9;319.65M;-2,74%;;
892;06.05.2015;11163,6;11100,4;11232,8;11048,3;275.55M;0,43%;;
891;07.05.2015;11180,3;11125,1;11214,8;10928,2;322.77M;0,15%;;
890;08.05.2015;11424,7;11260,8;11424,7;11212,9;309.36M;2,19%;;
889;11.05.2015;11445,8;11433,7;11481,6;11377,7;198.98M;0,18%;;
888;12.05.2015;11322,6;11332;11354;11221,5;292.90M;-1,08%;;
887;13.05.2015;11324,6;11366;11430,9;11282,4;249.28M;0,02%;;
886;14.05.2015;11398,7;11304,6;11428,3;11203,9;211.84M;0,65%;;
885;15.05.2015;11317,3;11438,8;11438,8;11265,9;230.82M;-0,71%;;
884;18.05.2015;11345;11336,8;11368;11203,1;234.03M;0,24%;;
883;19.05.2015;11497,7;11406,1;11537,8;11404;282.09M;1,35%;;
882;20.05.2015;11574,1;11505,1;11588,7;11460,6;192.41M;0,66%;;
881;21.05.2015;11595,4;11517,9;11595,4;11515,7;185.43M;0,18%;;
880;22.05.2015;11554,2;11594,7;11609,9;11533,7;168.22M;-0,36%;;
879;25.05.2015;11322,3;11421,2;11455,3;11262,1;156.48M;-2,01%;;
878;26.05.2015;11240,3;11297,1;11344,7;11169,4;315.13M;-0,72%;;
877;27.05.2015;11431,1;11281,7;11467,8;11247,2;241.03M;1,70%;;
876;28.05.2015;11382,8;11387,9;11450,7;11291,9;191.89M;-0,42%;;
875;29.05.2015;11217,6;11375,6;11402,7;11192,1;327.77M;-1,45%;;
874;01.06.2015;11238,1;11264,8;11343,2;11180,5;194.25M;0,18%;;
873;02.06.2015;11271,4;11314,5;11369,1;11151,3;232.39M;0,30%;;
872;03.06.2015;11267,6;11302,9;11361,8;11201,1;227.42M;-0,03%;;
871;04.06.2015;11146,1;11201,2;11292,7;11070;239.54M;-1,08%;;
870;05.06.2015;11062;11061,5;11127,9;10984,1;227.46M;-0,75%;;
869;08.06.2015;10917,3;11022,8;11056,1;10917,3;205.93M;-1,31%;;
868;09.06.2015;10938,1;10895;10945;10750;295.30M;0,19%;;
867;10.06.2015;11097,5;10879,9;11138,4;10854,4;241.56M;1,46%;;
866;11.06.2015;11156,7;11097,6;11231,3;11085,1;243.78M;0,53%;;
865;12.06.2015;11030,5;11124,5;11159,3;10932,6;215.49M;-1,13%;;
864;15.06.2015;10842,1;10893,6;10939,9;10775,6;223.28M;-1,71%;;
863;16.06.2015;10871,4;10766;10895,5;10659,7;241.07M;0,27%;;
862;17.06.2015;10813,4;10900;10933,9;10779,5;189.36M;-0,53%;;
861;18.06.2015;10871,9;10788,5;10888,4;10654,3;309.14M;0,54%;;
860;19.06.2015;10944,3;10890,7;11029,1;10880,8;354.74M;0,67%;;
859;22.06.2015;11368,2;11184,5;11394,2;11168,9;353.60M;3,87%;;
858;23.06.2015;11402,5;11461,5;11497,1;11384,5;271.93M;0,30%;;
857;24.06.2015;11321,9;11419;11420,1;11220,4;272.69M;-0,71%;;
856;25.06.2015;11308,4;11245;11441,3;11213,1;294.85M;-0,12%;;
855;26.06.2015;11372,3;11238,7;11434,8;11199,9;217.13M;0,57%;;
854;29.06.2015;10853,9;11148,4;11202,6;10816,4;463.51M;-4,56%;;
853;30.06.2015;10769,5;10811,6;10954,5;10723,2;369.23M;-0,78%;;
852;01.07.2015;10911,5;10857,7;11036,9;10784,3;310.65M;1,32%;;
851;02.07.2015;10846,4;10932;10960,7;10835,5;209.13M;-0,60%;;
850;03.07.2015;10779,8;10835,7;10860,7;10730;197.29M;-0,61%;;
849;06.07.2015;10540,1;10571,8;10653,7;10496;353.56M;-2,22%;;
848;07.07.2015;10346;10554,9;10588,5;10332,1;325.14M;-1,84%;;
847;08.07.2015;10430,3;10364,7;10478,7;10316,4;320.30M;0,81%;;
846;09.07.2015;10706,4;10479,4;10761,1;10463,6;306.82M;2,65%;;
845;10.07.2015;11036,1;10958,2;11069,8;10896,9;358.66M;3,08%;;
844;13.07.2015;11224,2;11178,2;11253,5;11121,8;306.04M;1,70%;;
843;14.07.2015;11258,3;11220,1;11258,3;11140,8;302.65M;0,30%;;
842;15.07.2015;11335,7;11262;11360,4;11234,3;208.08M;0,69%;;
841;16.07.2015;11510,6;11405,2;11536,3;11398,6;282.71M;1,54%;;
840;17.07.2015;11480,7;11551;11551;11472,6;229.03M;-0,26%;;
839;20.07.2015;11556,1;11506,9;11612,6;11499,4;178.80M;0,66%;;
838;21.07.2015;11458,6;11571,9;11579,7;11432,1;222.07M;-0,84%;;
837;22.07.2015;11484,3;11389,2;11525,4;11365,5;261.18M;0,22%;;
836;23.07.2015;11441,9;11552;11553,6;11429,4;229.34M;-0,37%;;
835;24.07.2015;11309,3;11415,4;11460,3;11300,9;339.31M;-1,16%;;
834;27.07.2015;11145,4;11252,7;11264,2;11136,7;334.76M;-1,45%;;
833;28.07.2015;11252,4;11179,5;11294;11168,1;224.45M;0,96%;;
832;29.07.2015;11282,9;11310;11325,6;11185,8;218.99M;0,27%;;
831;30.07.2015;11168,6;11347,7;11362,4;11117,6;292.61M;-1,01%;;
830;31.07.2015;11180,7;11198,4;11200,9;11039,5;278.12M;0,11%;;
829;03.08.2015;11265,9;11180,6;11288,5;11141,2;278.42M;0,76%;;
828;04.08.2015;11150,5;11240,3;11244,8;11098,5;409.88M;-1,02%;;
827;05.08.2015;11279,5;11195;11302,9;11184,7;255.67M;1,16%;;
826;06.08.2015;11253,6;11263,6;11327;11239,4;209.27M;-0,23%;;
825;07.08.2015;11178,2;11244,9;11264;11176,8;202.37M;-0,67%;;
824;10.08.2015;11311,7;11239,5;11330;11129,3;174.26M;1,19%;;
823;11.08.2015;11152,3;11278,5;11319,1;11137,8;231.92M;-1,41%;;
822;12.08.2015;10880,1;11054,4;11054,4;10840,3;308.27M;-2,44%;;
821;13.08.2015;10947,9;11030,8;11057,1;10938,5;213.80M;0,62%;;
820;14.08.2015;10879,3;10952,4;11034,3;10851,6;221.08M;-0,63%;;
819;17.08.2015;10900,3;10983,1;11023,3;10774,4;202.50M;0,19%;;
818;18.08.2015;10897,9;10878;10952,2;10846,1;167.05M;-0,02%;;
817;19.08.2015;10782,4;10843,7;10905,3;10776,8;229.36M;-1,06%;;
816;20.08.2015;10587;10748,2;10797,5;10564,8;292.08M;-1,81%;;
815;21.08.2015;10271,7;10434,4;10576,2;10270,2;336.67M;-2,98%;;
814;24.08.2015;9756,6;9973,7;10078;9502,4;637.10M;-5,01%;;
813;25.08.2015;10115,4;9880,4;10168,1;9819,9;448.31M;3,68%;;
812;26.08.2015;9984,5;10005,8;10132,9;9875,4;345.70M;-1,29%;;
811;27.08.2015;10290,2;10229,6;10357,3;10176,2;332.91M;3,06%;;
810;28.08.2015;10352,9;10322,7;10352,9;10235,7;202.08M;0,61%;;
809;31.08.2015;10259;10297,2;10319,1;10190,4;184.68M;-0,91%;;
808;01.09.2015;9992,8;10136,1;10148,5;9921,1;286.17M;-2,59%;;
807;02.09.2015;9938,3;10009,7;10071,1;9855,8;278.09M;-0,55%;;
806;03.09.2015;10042,4;10023,8;10118,7;9945,9;311.83M;1,05%;;
805;04.09.2015;9821,8;9947;9950,8;9737,9;325.76M;-2,20%;;
804;07.09.2015;9805,4;9893,5;9931,8;9796,6;170.28M;-0,17%;;
803;08.09.2015;9866,2;9860,3;9987,7;9857,6;222.43M;0,62%;;
802;09.09.2015;10037,8;10078,8;10193;10031,1;263.82M;1,74%;;
801;10.09.2015;9859;9929,2;9989,7;9840;260.44M;-1,78%;;
800;11.09.2015;9737,9;9877;9886;9722,7;261.36M;-1,23%;;
799;14.09.2015;9696,4;9764,8;9836,9;9685,6;213.98M;-0,43%;;
798;15.09.2015;9782,5;9708,3;9834,8;9620,7;275.76M;0,89%;;
797;16.09.2015;9976,8;9869,5;9983;9843;286.87M;1,99%;;
796;17.09.2015;10106,6;10015;10141,8;9988,9;344.89M;1,30%;;
795;18.09.2015;9847,2;10048,6;10050,3;9801,7;557.11M;-2,57%;;
794;21.09.2015;9856,8;9826,1;9952;9820,3;220.60M;0,10%;;
793;22.09.2015;9550,2;9856,1;9857,8;9528,2;335.15M;-3,11%;;
